"STOP_LOCATION_X","STOP_LOCATION_Y","AFTER_6PM"
1000012,228608,FALSE
1000012,228608,FALSE
1000943,233951,TRUE
984792,211030,FALSE
996716,234409,TRUE
986632,212536,TRUE
985631,212434,TRUE
995369,221138,FALSE
998826,226447,FALSE
989129,199082,FALSE
998942,230034,TRUE
989321,205530,FALSE
987866,214721,TRUE
987866,214721,TRUE
987866,214721,TRUE
1000532,228099,TRUE
997576,239672,FALSE
990477,203734,FALSE
988610,209997,FALSE
997576,221811,FALSE
990168,218969,FALSE
993542,229957,TRUE
987445,215705,FALSE
987595,216089,FALSE
997413,230685,FALSE
998470,241560,FALSE
986976,198790,TRUE
983646,208849,FALSE
988554,215236,FALSE
987934,214961,TRUE
987078,215157,TRUE
985927,213077,TRUE
987124,215351,TRUE
987341,215631,FALSE
987139,213961,FALSE
987139,213961,FALSE
987139,213961,FALSE
987252,211755,FALSE
991969,227999,TRUE
992978,229517,FALSE
1007180,255261,FALSE
1007180,255261,FALSE
998041,231228,FALSE
1000846,226964,TRUE
994134,228841,TRUE
1000554,230994,FALSE
996793,237643,TRUE
979986,200073,TRUE
979986,200073,TRUE
979986,200073,TRUE
987049,202800,TRUE
985990,199978,FALSE
989211,222689,FALSE
999947,238226,FALSE
984031,199876,FALSE
986809,215368,FALSE
989989,213543,TRUE
989989,213543,TRUE
988001,220768,FALSE
986809,215368,FALSE
993974,217531,FALSE
999397,228561,FALSE
999656,230985,FALSE
987060,207176,TRUE
999194,229090,TRUE
1003502,230462,TRUE
997917,231005,FALSE
1002135,241057,FALSE
988065,214701,FALSE
993955,229128,TRUE
996282,232119,FALSE
996333,233382,FALSE
1005345,254240,FALSE
994134,228841,TRUE
994134,228841,TRUE
993628,229582,TRUE
982102,198027,TRUE
987642,212435,FALSE
999954,229627,TRUE
999954,229627,TRUE
999954,229627,TRUE
992717,227232,TRUE
1000432,236050,TRUE
982928,208070,FALSE
985631,208828,TRUE
997987,240415,FALSE
998911,236510,TRUE
999759,235489,FALSE
981807,199060,FALSE
996684,238064,TRUE
1000989,240382,FALSE
980694,195183,FALSE
988824,198947,FALSE
989558,199244,FALSE
987297,204173,FALSE
1001028,240516,FALSE
1000098,232836,TRUE
1000098,232836,TRUE
987866,214721,FALSE
995005,222593,FALSE
